# Export File Created with QBlade CE v2.0.9.7b_beta windows on 16.08.2026 at 11:34:35
Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13
Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm]
5.2500000e+01;2.7173243e-02;5.2500000e+01;3.7499972e-02;5.2500000e+01;5.1467046e-02;5.2500000e+01;6.5015331e-02;5.2500000e+01;8.1836395e-02;5.2500000e+01;1.0002878e-01;5.2500000e+01;1.1902209e-01;5.2500000e+01;1.3470575e-01;5.2500000e+01;1.4777488e-01;5.2500000e+01;1.6452196e-01;5.2500000e+01;1.7838055e-01;5.2500000e+01;2.0473738e-01;5.2500000e+01;2.4310142e-01;5.2500000e+01;2.7024040e-01;5.2500000e+01;2.8238344e-01;5.2500000e+01;2.7739584e-01;5.2500000e+01;2.6590177e-01;5.2500000e+01;2.5068974e-01
5.7500000e+01;2.7618974e-02;5.7500000e+01;3.7482567e-02;5.7500000e+01;5.1110331e-02;5.7500000e+01;6.6898152e-02;5.7500000e+01;8.3561420e-02;5.7500000e+01;1.0091829e-01;5.7500000e+01;1.2052609e-01;5.7500000e+01;1.3699505e-01;5.7500000e+01;1.4929938e-01;5.7500000e+01;1.6272956e-01;5.7500000e+01;1.7802846e-01;5.7500000e+01;2.0913176e-01;5.7500000e+01;2.4486130e-01;5.7500000e+01;2.6973835e-01;5.7500000e+01;2.8231296e-01;5.7500000e+01;2.7824885e-01;5.7500000e+01;2.6698726e-01;5.7500000e+01;2.5189158e-01
6.2500000e+01;2.7146872e-02;6.2500000e+01;3.9010495e-02;6.2500000e+01;5.2272111e-02;6.2500000e+01;6.7495152e-02;6.2500000e+01;8.3923101e-02;6.2500000e+01;1.0195632e-01;6.2500000e+01;1.2143557e-01;6.2500000e+01;1.3784124e-01;6.2500000e+01;1.5122809e-01;6.2500000e+01;1.6262737e-01;6.2500000e+01;1.7705479e-01;6.2500000e+01;2.1266958e-01;6.2500000e+01;2.4707288e-01;6.2500000e+01;2.6696682e-01;6.2500000e+01;2.8069109e-01;6.2500000e+01;2.7817845e-01;6.2500000e+01;2.6749796e-01;6.2500000e+01;2.5250626e-01
6.7500000e+01;2.7124979e-02;6.7500000e+01;3.9053224e-02;6.7500000e+01;5.2577481e-02;6.7500000e+01;6.7398541e-02;6.7500000e+01;8.3515599e-02;6.7500000e+01;1.0181352e-01;6.7500000e+01;1.2110759e-01;6.7500000e+01;1.3883828e-01;6.7500000e+01;1.5126468e-01;6.7500000e+01;1.6364783e-01;6.7500000e+01;1.7606235e-01;6.7500000e+01;2.1573704e-01;6.7500000e+01;2.4645683e-01;6.7500000e+01;2.6292068e-01;6.7500000e+01;2.7783430e-01;6.7500000e+01;2.7733985e-01;6.7500000e+01;2.6736632e-01;6.7500000e+01;2.5256723e-01
7.2500000e+01;2.7066823e-02;7.2500000e+01;3.8418334e-02;7.2500000e+01;5.0376169e-02;7.2500000e+01;6.7530274e-02;7.2500000e+01;8.3014697e-02;7.2500000e+01;1.0062554e-01;7.2500000e+01;1.2060703e-01;7.2500000e+01;1.3658825e-01;7.2500000e+01;1.5174177e-01;7.2500000e+01;1.6295920e-01;7.2500000e+01;1.7754024e-01;7.2500000e+01;2.1382433e-01;7.2500000e+01;2.4243754e-01;7.2500000e+01;2.5820631e-01;7.2500000e+01;2.7427453e-01;7.2500000e+01;2.7592152e-01;7.2500000e+01;2.6676229e-01;7.2500000e+01;2.5220084e-01
7.7500000e+01;2.6714120e-02;7.7500000e+01;3.6656089e-02;7.7500000e+01;5.1260971e-02;7.7500000e+01;6.5222748e-02;7.7500000e+01;8.0035321e-02;7.7500000e+01;1.0009848e-01;7.7500000e+01;1.1878540e-01;7.7500000e+01;1.3602121e-01;7.7500000e+01;1.5061148e-01;7.7500000e+01;1.6290247e-01;7.7500000e+01;1.7959785e-01;7.7500000e+01;2.0988521e-01;7.7500000e+01;2.3617686e-01;7.7500000e+01;2.5219017e-01;7.7500000e+01;2.7065936e-01;7.7500000e+01;2.7413791e-01;7.7500000e+01;2.6556098e-01;7.7500000e+01;2.5123531e-01
8.2500000e+01;2.6716623e-02;8.2500000e+01;3.7469238e-02;8.2500000e+01;4.8419155e-02;8.2500000e+01;6.4071596e-02;8.2500000e+01;8.0351025e-02;8.2500000e+01;9.7817585e-02;8.2500000e+01;1.1746266e-01;8.2500000e+01;1.3314414e-01;8.2500000e+01;1.4992234e-01;8.2500000e+01;1.6191781e-01;8.2500000e+01;1.8053351e-01;8.2500000e+01;2.0153809e-01;8.2500000e+01;2.2988588e-01;8.2500000e+01;2.4648517e-01;8.2500000e+01;2.6734042e-01;8.2500000e+01;2.7253574e-01;8.2500000e+01;2.6450861e-01;8.2500000e+01;2.5036880e-01
8.7500000e+01;2.6474180e-02;8.7500000e+01;3.5379428e-02;8.7500000e+01;4.9630553e-02;8.7500000e+01;6.3233167e-02;8.7500000e+01;7.8766659e-02;8.7500000e+01;9.6900001e-02;8.7500000e+01;1.1518107e-01;8.7500000e+01;1.3204686e-01;8.7500000e+01;1.4607659e-01;8.7500000e+01;1.6285913e-01;8.7500000e+01;1.7913952e-01;8.7500000e+01;1.9440278e-01;8.7500000e+01;2.2404671e-01;8.7500000e+01;2.4275117e-01;8.7500000e+01;2.6524666e-01;8.7500000e+01;2.7133992e-01;8.7500000e+01;2.6361173e-01;8.7500000e+01;2.4961966e-01
9.2500000e+01;2.6481673e-02;9.2500000e+01;3.7028965e-02;9.2500000e+01;4.7548417e-02;9.2500000e+01;6.2723517e-02;9.2500000e+01;7.9156965e-02;9.2500000e+01;9.6041836e-02;9.2500000e+01;1.1469109e-01;9.2500000e+01;1.2894928e-01;9.2500000e+01;1.4429483e-01;9.2500000e+01;1.6258180e-01;9.2500000e+01;1.7569079e-01;9.2500000e+01;1.8768045e-01;9.2500000e+01;2.1882738e-01;9.2500000e+01;2.3990336e-01;9.2500000e+01;2.6432377e-01;9.2500000e+01;2.7095059e-01;9.2500000e+01;2.6340812e-01;9.2500000e+01;2.4945542e-01
9.7500000e+01;2.7757196e-02;9.7500000e+01;3.6214795e-02;9.7500000e+01;4.8782572e-02;9.7500000e+01;6.3212693e-02;9.7500000e+01;7.8369483e-02;9.7500000e+01;9.6165746e-02;9.7500000e+01;1.1228870e-01;9.7500000e+01;1.2637086e-01;9.7500000e+01;1.4446896e-01;9.7500000e+01;1.6338536e-01;9.7500000e+01;1.7130971e-01;9.7500000e+01;1.8044218e-01;9.7500000e+01;2.1597603e-01;9.7500000e+01;2.3858127e-01;9.7500000e+01;2.6389182e-01;9.7500000e+01;2.7092999e-01;9.7500000e+01;2.6349655e-01;9.7500000e+01;2.4969229e-01
1.0250000e+02;2.8186586e-02;1.0250000e+02;3.7803981e-02;1.0250000e+02;4.9751252e-02;1.0250000e+02;6.4012378e-02;1.0250000e+02;8.0091298e-02;1.0250000e+02;9.5186353e-02;1.0250000e+02;1.0972252e-01;1.0250000e+02;1.2714878e-01;1.0250000e+02;1.4925499e-01;1.0250000e+02;1.6335300e-01;1.0250000e+02;1.6656476e-01;1.0250000e+02;1.7765987e-01;1.0250000e+02;2.1442461e-01;1.0250000e+02;2.3819371e-01;1.0250000e+02;2.6442039e-01;1.0250000e+02;2.7121502e-01;1.0250000e+02;2.6380247e-01;1.0250000e+02;2.4993086e-01
