Thickness,Twist,Solidity,TSR,Pred_Cp,Sigma_Cp,Pred_TRF,Sigma_TRF
13.385121589398358,55.63440457869306,0.2500000003559418,4.196854465593055,0.3778363683498503,0.012990350946254102,0.9206982796462639,0.09516481181942808
13.38850464180143,55.098328578369824,0.2500000001472729,4.19685769571272,0.3778363675069764,0.012990255832430062,0.9314972654120498,0.09578483211926034
13.388499262836394,55.13090358127176,0.25000000074814716,4.196857918585279,0.3778363609201656,0.012990230337703971,0.9308404978631899,0.09578280862514063
13.38850464180143,55.38623031338772,0.25000000011211815,4.196853016900864,0.3778363056057592,0.012990023863134206,0.9256951685824394,0.09577609942107498
13.38834765687051,55.51033368343442,0.2500000003359878,4.1967735474782035,0.37783627951652254,0.012989940305979325,0.9231959995538671,0.09574478297272282
13.388499262836394,55.876798330907064,0.2500000124662031,4.1968116764541685,0.3778361823324433,0.012989633050538418,0.915824193351642,0.09576344902331346
13.387216713008657,56.058018203732,0.2500000021663176,4.196666531537655,0.37783617268094816,0.012989674221531761,0.9121829888808025,0.09553106255246634
13.38684581751034,56.249858939730025,0.25000000013933654,4.19685769571272,0.37783614769552487,0.012989605924932514,0.9083327144320626,0.09546159788665809
13.38850464180143,56.249858939730025,0.25000000013933654,4.19685769571272,0.3778360840646613,0.012989349621630475,0.9083339294757898,0.09575780738689318
13.38834765687051,56.519958747876665,0.250000000013669,4.1967986598201845,0.37783600745803153,0.01298916209098562,0.9029213404099566,0.09572606311757059
13.388499262836394,56.58462144480508,0.2500000124662031,4.196762429291628,0.37783597656585244,0.012989085847955394,0.901627220203501,0.09575232106771944
13.388239136147048,56.68972479541795,0.2500000002442112,4.196761732252819,0.37783595613853,0.01298904721274745,0.899524434951818,0.0957047365869035
13.38823860265233,56.85917289581015,0.2500000004132739,4.196775555964643,0.37783590168601044,0.012988922813143835,0.8961382856710361,0.09570294345247732
13.385646419326134,57.17708134259888,0.2500000379686381,4.196775161735262,0.37783587650715383,0.012989089400618742,0.8897937116402929,0.09523703001680263
13.388202570772465,56.98395930896916,0.2500000071744117,4.196788923946042,0.37783586036112043,0.01298883774682822,0.8936474874677919,0.09569542047756342
13.386967903607477,57.17708134259888,0.2500000379686381,4.196775101742716,0.3778358318431564,0.012988885174446593,0.8897958647800503,0.0954734812447494
13.385832412194754,57.55968092149522,0.2500000020815995,4.196820161790836,0.37783574020056954,0.012988789953537024,0.8821865129736941,0.09526819530710624
13.385518532888993,57.598534834112684,0.2500000000945794,4.19677640526582,0.3778357324166226,0.012988805809764158,0.8814148977007641,0.09521181117695957
13.387216713008657,57.43114968753812,0.2500000021663176,4.196666531537655,0.37783572778779595,0.012988650778080323,0.8847417076654623,0.09551641784483221
13.385625690335686,57.90216620101819,0.2500000002148237,4.1968523701348595,0.37783561369299656,0.012988583373812158,0.8754011207782959,0.095229939927505
13.38709930132936,57.849365104606335,0.2500000010321951,4.196798944609341,0.3778355808507443,0.012988386907449348,0.8764490263655291,0.09549372763865237
13.38735778323597,58.183394433852214,0.2500000007455044,4.1967543614805995,0.37783542894580263,0.012988109678223374,0.8698540099184046,0.09553911935144106
13.383027079439525,58.51501351140924,0.25000001453723775,4.196853016900864,0.377835422054986,0.012988563128622654,0.8633191573294241,0.0947625933126865
13.388403917992635,58.34231406901951,0.25000000017522334,4.196851809967439,0.37783532440256035,0.012987850712033384,0.8667285046194806,0.09572560447156991
